game_id,season,quarter,time,minute,second,play,pos_team,away_score,home_score
4eqyt7yhtfqo,2026,3,4:03,4,3,Rhyne Howard misses three point jump shot,Vinyl,45,41
4eqyt7yhtfqo,2026,3,4:01,4,1,Marina Mabrey defensive rebound,Lunar Owls,45,41
4eqyt7yhtfqo,2026,3,3:54,3,54,Marina Mabrey misses two point jump shot,Lunar Owls,45,41
4eqyt7yhtfqo,2026,3,3:52,3,52,Aaliyah Edwards offensive rebound,Lunar Owls,45,41
4eqyt7yhtfqo,2026,3,3:52,3,52,Aaliyah Edwards makes two point putback layup,Lunar Owls,45,43
4eqyt7yhtfqo,2026,3,3:52,3,52,Dearica Hamby shooting foul (Aaliyah Edwards draws the foul),Vinyl,45,43
4eqyt7yhtfqo,2026,3,3:52,3,52,"Lunar Owls lineup change (Marina Mabrey, Aaliyah Edwards, Skylar Diggins)",Lunar Owls,45,43
4eqyt7yhtfqo,2026,3,3:49,3,49,Aaliyah Edwards misses one point free throw,Lunar Owls,45,43
4eqyt7yhtfqo,2026,3,3:49,3,49,Dearica Hamby defensive rebound,Vinyl,45,43
4eqyt7yhtfqo,2026,3,3:44,3,44,Erica Wheeler misses three point jump shot,Vinyl,45,43
4eqyt7yhtfqo,2026,3,3:42,3,42,Aaliyah Edwards defensive rebound,Lunar Owls,45,43
4eqyt7yhtfqo,2026,3,3:34,3,34,Aaliyah Edwards misses two point driving layup,Lunar Owls,45,43
4eqyt7yhtfqo,2026,3,3:33,3,33,Lunar Owls offensive rebound,Lunar Owls,45,43
4eqyt7yhtfqo,2026,3,3:28,3,28,Marina Mabrey makes three point jump shot (Skylar Diggins assists),Lunar Owls,45,46
4eqyt7yhtfqo,2026,3,3:28,3,28,TV timeout,NA,45,46
4eqyt7yhtfqo,2026,3,3:20,3,20,Dearica Hamby offensive foul (Marina Mabrey draws the foul),Vinyl,45,46
4eqyt7yhtfqo,2026,3,3:20,3,20,Dearica Hamby turnover (offensive foul),Vinyl,45,46
4eqyt7yhtfqo,2026,3,3:09,3,9,Erica Wheeler shooting foul (Skylar Diggins draws the foul),Vinyl,45,46
4eqyt7yhtfqo,2026,3,3:09,3,9,"Vinyl lineup change (Brittney Griner, Erica Wheeler, Rhyne Howard)",Vinyl,45,46
4eqyt7yhtfqo,2026,3,3:09,3,9,Skylar Diggins makes two point free throw,Lunar Owls,45,48
4eqyt7yhtfqo,2026,3,2:59,2,59,Rhyne Howard makes three point jump shot,Vinyl,48,48
4eqyt7yhtfqo,2026,3,2:52,2,52,Aaliyah Edwards misses two point layup,Lunar Owls,48,48
4eqyt7yhtfqo,2026,3,2:50,2,50,Brittney Griner defensive rebound,Vinyl,48,48
4eqyt7yhtfqo,2026,3,2:41,2,41,Brittney Griner misses two point hook shot,Vinyl,48,48
4eqyt7yhtfqo,2026,3,2:39,2,39,Marina Mabrey defensive rebound,Lunar Owls,48,48
4eqyt7yhtfqo,2026,3,2:32,2,32,Marina Mabrey makes three point stepback jump shot,Lunar Owls,48,51
4eqyt7yhtfqo,2026,3,2:22,2,22,Brittney Griner offensive foul (Skylar Diggins draws the foul),Vinyl,48,51
4eqyt7yhtfqo,2026,3,2:22,2,22,Brittney Griner turnover (offensive foul),Vinyl,48,51
4eqyt7yhtfqo,2026,3,2:10,2,10,Marina Mabrey misses three point stepback jump shot,Lunar Owls,48,51
4eqyt7yhtfqo,2026,3,2:08,2,8,Skylar Diggins offensive rebound,Lunar Owls,48,51
4eqyt7yhtfqo,2026,3,2:04,2,4,Rhyne Howard blocks Skylar Diggins's two point driving layup,Lunar Owls,48,51
4eqyt7yhtfqo,2026,3,2:04,2,4,Lunar Owls offensive rebound,Lunar Owls,48,51
4eqyt7yhtfqo,2026,3,1:54,1,54,Aaliyah Edwards makes three point jump shot,Lunar Owls,48,54
4eqyt7yhtfqo,2026,3,1:40,1,40,Brittney Griner offensive foul (Skylar Diggins draws the foul),Vinyl,48,54
4eqyt7yhtfqo,2026,3,1:40,1,40,Brittney Griner turnover (offensive foul),Vinyl,48,54
4eqyt7yhtfqo,2026,3,1:35,1,35,Aaliyah Edwards offensive foul (Erica Wheeler draws the foul),Lunar Owls,48,54
4eqyt7yhtfqo,2026,3,1:35,1,35,Aaliyah Edwards turnover (offensive foul),Lunar Owls,48,54
4eqyt7yhtfqo,2026,3,1:35,1,35,"Vinyl lineup change (Courtney Williams, Brittney Griner, Rhyne Howard)",Vinyl,48,54
4eqyt7yhtfqo,2026,3,1:24,1,24,Skylar Diggins personal foul (Brittney Griner draws the foul),Lunar Owls,48,54
4eqyt7yhtfqo,2026,3,1:18,1,18,Rhyne Howard misses three point jump shot,Vinyl,48,54
4eqyt7yhtfqo,2026,3,1:16,1,16,Aaliyah Edwards defensive rebound,Lunar Owls,48,54
4eqyt7yhtfqo,2026,3,1:05,1,5,Marina Mabrey offensive foul (Rhyne Howard draws the foul),Lunar Owls,48,54
4eqyt7yhtfqo,2026,3,1:05,1,5,Marina Mabrey turnover (offensive foul),Lunar Owls,48,54
4eqyt7yhtfqo,2026,3,0:52,0,52,Brittney Griner turnover (lost ball) (Marina Mabrey steals),Vinyl,48,54
4eqyt7yhtfqo,2026,3,0:46,0,46,Skylar Diggins misses three point jump shot,Lunar Owls,48,54
4eqyt7yhtfqo,2026,3,0:44,0,44,Rhyne Howard defensive rebound,Vinyl,48,54
4eqyt7yhtfqo,2026,3,0:40,0,40,Rhyne Howard misses three point jump shot,Vinyl,48,54
4eqyt7yhtfqo,2026,3,0:38,0,38,Marina Mabrey defensive rebound,Lunar Owls,48,54
4eqyt7yhtfqo,2026,3,0:27,0,27,Rhyne Howard shooting foul (Marina Mabrey draws the foul),Vinyl,48,54
